tags,tag_count,similar_tracks,tracks_count
16,252.0,Everything Is Embarrassing,222
Rush,252.0,Look at Me!,222
heard on Pandora,250.0,Waves,221
calm,247.0,One Beer,221
hiphop,247.0,Me & U,221
best song ever,244.0,Attention,221
EDM,242.0,2002,220
Southern Hip Hop,242.0,fukumean,220
1985,242.0,Older,219
folk rock,241.0,Never Be The Same,218
2022,236.0,Zombie,218
6 of 10 stars,235.0,Sorry,218
Maps,233.0,love song,218
rock band,233.0,MIDDLE CHILD,217
chamber pop,231.0,2017,217
2014,227.0,Linger,216
No Scrubs,227.0,Duvet,215
hot,226.0,Low Down,215
great song,225.0,Space Song,214
live,225.0,Domino,214
Bittersweet,224.0,Loser,212
2023,223.0,Nightmare,212
2002,220.0,Ghost,212
hino,220.0,Paper Bag,212
love song,218.0,Losing My Religion,211
alt rock,218.0,Alien Blues,209
2020,218.0,Runnin,209
2013,212.0,Get A Guitar,209
Olivia,212.0,Apocalypse,209
genius,212.0,Spread Thin,209
addictive,212.0,2012,209
Psychedelic Rock,210.0,Candy,208
club,209.0,The Adults Are Talking,208
2012,209.0,What Would I Do?,208
shoegaze,208.0,Call Me Maybe,207
shit,208.0,Obsessed,207
soty,208.0,Casual,207
cute,207.0,Forever,207
Retro,207.0,Promiscuous,207
2015,207.0,cute,207
Casual,207.0,2015,207
60s,205.0,Ready or Not,206
Pop-Rock,204.0,HONEST,206
Black Hole Sun,204.0,Intolewd,204
brilliant,203.0,No Vacancy,204
Low,203.0,Only Girl (In the World),204
Kiss Me,203.0,Black Hole Sun,204
singer songwriter,202.0,Mo Bamba,204
angry,201.0,F.N,203
2021,201.0,Low,203
trip hop,200.0,Lovers Rock,203
melodic,200.0,Kiss Me,203
2017,199.0,act ii: date @ 8,202
mild rhythmic syncopation,198.0,Over,202
2016,197.0,Venus,202
2019,197.0,Nonsense,201
1990s,196.0,IDGAF,201
In the Aeroplane Over the Sea,196.0,Love On The Brain,201
3,195.0,Bitch,201
Promise,194.0,Heart Attack,200
Good Stuff,193.0,Ex-Factor,200
lounge,193.0,You Right,199
gay,193.0,Sugar,199
teen pop,193.0,You,199
The Boy Is Mine,191.0,Could've Been (feat. Bryson Tiller),199
groovy,191.0,No Pole,199
Believe,190.0,Back to the Old House - 2011 Remaster,198
Paparazzi,190.0,Sure Thing,198
When the Sun Hits,187.0,Otis (feat. Otis Redding),198
folk pop,187.0,Drowning (feat. Kodak Black),198
Lo-Fi,186.0,Fade Into You,198
Karma,186.0,Cigarette Daydreams,198
Are You Gonna Be My Girl,185.0,2016,197
trip-hop,184.0,Trash,197
world,183.0,HEATED,197
Banquet,182.0,Andromeda,197
repetitive melodic phrasing,181.0,Dancing on My Own,197
Float On,181.0,Oblivion,197
One,180.0,Bad and Boujee (Feat. Lil Uzi Vert),197
experimental hip hop,180.0,Like a Stone,196
bedroom pop,179.0,2024,196
hit,179.0,In the Aeroplane Over the Sea,196
ethereal,179.0,Intermission,195
a vocal-centric aesthetic,178.0,Evergreen (You Didn’t Deserve Me At All),195
Young,178.0,Freestyle,195
2010,178.0,Pt. II,195
1999,178.0,I Bet on Losing Dogs,195
2011,177.0,The Kill,195
synth pop,176.0,we can't be friends (wait for your love),195
psychedelic pop,176.0,Change,195
west coast hip hop,176.0,A-Punk,195
vugube62,176.0,3,195
indietronica,175.0,Jungle,194
Trash,175.0,Promise,194
post-hardcore,175.0,Lover,194
Sex on Fire,174.0,rises the moon,194
Confident,173.0,all of me,194
2018,173.0,Good Stuff,193
Helicopter,173.0,Wish You Were Sober,193
7 of 10 stars,172.0,Around Me (feat. Don Toliver),192
Sweet but Psycho,172.0,What You Know,192
i,171.0,This Could Be Us,192
Uplifting,171.0,It Was A Good Day,191
bop,170.0,Needs,191
Conscious Hip Hop,170.0,Daddy Issues,191
Alternative  Punk,170.0,Overdue (feat. Travis Scott),191
acoustic rhythm piano,169.0,The Boy Is Mine,191
Wish You Were Here,169.0,Too Close,190
Bodies,169.0,Lost,190
King,168.0,Because I Liked a Boy,190
deja vu,168.0,Believe,190
The Red,168.0,Paparazzi,190
Poison,168.0,Teenage Dream,189
metalcore,167.0,Touch,189
Leave Me Alone,167.0,Paint the Town Red,188
hardcore hip hop,167.0,move,188
love,167.0,Single Soon,188
jealousy,166.0,Solo,188
instrumental,166.0,Are You Gonna Be My Girl,187
rhythm and blues,165.0,You & Me,187
Canadian,165.0,Escapism.,187
post-rock,165.0,Xs,186
amayzes loved,164.0,I Was All Over Her,186
americana,164.0,When the Sun Hits,186
industrial,164.0,Genesis,186
Like,163.0,2018,185
Always,163.0,Scrawny,185
21,162.0,Paradise,184
heard live,162.0,1999,184
powerful,161.0,All Caps,184
Satellite,161.0,anything,184
synth,161.0,Banquet,184
80's,161.0,Talk Too Much,184
-1001333387036,160.0,Praise The Lord (Da Shine) (feat. Skepta),184
Electric Relaxation,160.0,Love Is Only a Feeling,183
energy,160.0,Inside Out,183
Gone,159.0,Karma,183
2024,159.0,world,183
Otis,159.0,Unforgettable (Feat. Swae Lee),183
Roxanne,158.0,Wet Dreamz,182
in love,158.0,Stay,182
alternative hip hop,157.0,Plug Walk,182
ambient pop,157.0,Sex,182
techno,157.0,Sober To Death,182
classics,156.0,"What Was I Made For? [From The Motion Picture ""Barbie""]",182
cover,156.0,Outside Today,182
rnb influences,156.0,Come a Little Closer,181
FM4,155.0,Stargirl Interlude,181
baroque pop,155.0,Heartbeat,181
jazz rap,155.0,Teenage Dirtbag,181
1,154.0,Churchill Downs (feat. Drake),181
best songs ever,154.0,Float On,181
Ruby,153.0,hype boy,181
